date,posterior_maximum_probability,posterior_entropy
2025-02-10,0.9999999320373286,1.1896665669487848e-06
2025-02-11,0.9999999320373286,1.1896665669487848e-06
2025-02-12,0.9999999320373286,1.1896665669487848e-06
2025-02-13,0.9999999320373286,1.1896665669487848e-06
2025-02-14,0.9999999320373286,1.1896665669487848e-06
2025-02-17,0.9999999320373286,1.1896665669487848e-06
2025-02-18,0.9999999320373286,1.1896665669487848e-06
2025-02-19,0.9999999320373286,1.1896665669487848e-06
2025-02-20,0.9999999320373286,1.1896665669487848e-06
2025-02-21,0.9999999320373286,1.1896665669487848e-06
2025-02-24,0.9999999320373286,1.1896665669487848e-06
2025-02-25,1.0,5.526204223185709e-11
2025-02-27,1.0,5.526204223185709e-11
2025-02-28,1.0,5.526204223185709e-11
2025-03-03,1.0,5.526204223185709e-11
2025-03-04,1.0,5.526204223185709e-11
2025-03-05,1.0,5.526204223185709e-11
2025-03-06,1.0,5.526204223185709e-11
2025-03-07,1.0,5.526204223185709e-11
2025-03-10,1.0,5.526204223185709e-11
2025-03-11,1.0,5.526204223185709e-11
2025-03-12,1.0,5.526204223185709e-11
2025-03-13,1.0,5.526204223185709e-11
2025-03-17,1.0,5.526204223185709e-11
2025-03-18,1.0,5.526204223185709e-11
2025-03-19,1.0,5.526204223185709e-11
2025-03-20,1.0,5.526204223185709e-11
2025-03-21,1.0,5.526204223185709e-11
2025-03-24,1.0,5.526204223185709e-11
2025-03-25,1.0,5.526204223185709e-11
2025-03-26,1.0,5.526204223185709e-11
2025-03-27,1.0,5.526204223185709e-11
2025-03-28,0.9999999998306066,4.010612327313137e-09
2025-04-01,0.9999999998306066,4.010612327313137e-09
2025-04-02,0.9999999998306066,4.010612327313137e-09
2025-04-03,0.9999999998306066,4.010612327313137e-09
2025-04-04,0.9999999998306066,4.010612327313137e-09
2025-04-07,0.9999999998306066,4.010612327313137e-09
2025-04-08,0.9999999998306066,4.010612327313137e-09
2025-04-09,0.9999999998306066,4.010612327313137e-09
2025-04-11,0.9999999998306066,4.010612327313137e-09
2025-04-15,0.9999999998306066,4.010612327313137e-09
2025-04-16,0.9999999998306066,4.010612327313137e-09
2025-04-17,0.9999999998306066,4.010612327313137e-09
2025-04-21,0.9999999998306066,4.010612327313137e-09
2025-04-22,0.9999999998306066,4.010612327313137e-09
2025-04-23,0.9999999998306066,4.010612327313137e-09
2025-04-24,0.9999999998306066,4.010612327313137e-09
2025-04-25,0.9999999998306066,4.010612327313137e-09
2025-04-28,0.9999999998306066,4.010612327313137e-09
2025-04-29,0.9999999998306066,4.010612327313137e-09
2025-04-30,0.9999999998306066,4.010612327313137e-09
2025-05-02,0.9999999998306066,4.010612327313137e-09
2025-05-05,0.9999979636063744,2.872199352172127e-05
2025-05-06,0.9999979636063744,2.872199352172127e-05
2025-05-07,0.9999979636063744,2.872199352172127e-05
2025-05-08,0.9999979636063744,2.872199352172127e-05
